Account,Parcel Number,Reception,Sale Date,Sale Price,Situs Address,Location,Architectural Style,Year Built,Bedrooms,Baths,Heated Area,Legal
R311103,218521105008,861468,4/15/2015,"$265,000",000405 32ND ST,GLENWOOD,ONE STORY,1951,3,1.75,1142,Section: 21 Township: 6 Range: 89 Subdivision: COLE SUB Block: 1 Lot: 7
R020366,218505204004,868158,9/16/2015,"$415,000",000245 VISTA DR,GLENWOOD,ONE STORY,1972,2,1.5,1144,Section: 5 Township: 6 Range: 89 Subdivision: VISTA HEIGHTS SUB. Block: 4 Lot: 4
R100084,218509419018,864335,6/18/2015,"$277,500",000921 BENNETT AVE,GLENWOOD,ONE WITH HALF STORY,1898,2,1,1151,Section: 9 Township: 6 Range: 89 Subdivision: ORIGINAL TWNSTE. GLENWOOD Block: 26 Lot: 21 AND:- Lot: 22 N. 12.5' OF 21 1.2' REMOVED BY BK1688/197
R111504,239501400116,855573,11/3/2014,"$525,000",000267-000281 167 COUNTY RD,GLENWOOD,ONE STORY,1962,3,1,1154,Section: 1 Township: 7 Range: 89 A TR IN LOT 21
R005050,218509102025,873694,2/12/2016,"$335,000",000708 BENNETT AVE,GLENWOOD,TWO STORY,1889,3,1,1167,Section: 9 Township: 6 Range: 89 Subdivision: ORIGINAL TWNSTE. GLENWOOD Block: 47 Lot: 4
R031808,218509300006,868160,9/12/2015,"$315,000",000710 MIDLAND AVE,GLENWOOD,ONE STORY,1954,2,1,1174,Section: 9 Township: 6 Range: 89 TR IN NESW
R031405,218509426004,866561,8/6/2015,"$379,000",001020 PITKIN AVE,GLENWOOD,ONE STORY,1936,3,1.5,1196,Section: 9 Township: 6 Range: 89 Subdivision: ORIGINAL TWNSTE. GLENWOOD Block: 19 Lot: 9 AND:- Lot: 10 S 12'OF LOT 9
R311459,218509428011,856902,12/8/2014,"$435,000",001017 COOPER AVE,GLENWOOD,ONE STORY WITH BASEMENT,1903,2,1,1200,Section: 9 Township: 6 Range: 89 Subdivision: ORIGINAL TWNSTE. GLENWOOD Block: 17 Lot: 22 THRU:- Lot: 24
R041643,218509402025,863271,5/28/2015,"$378,000",000609 8TH ST,GLENWOOD,ONE STORY,1893,2,1.75,1243,"Section: 9 Township: 6 Range: 89 Subdivision: ORIGINAL TWNSTE. GLENWOOD Block: 47 PARCEL A. AMENDED PLAT OF LOTS 25,26,&27"
R031855,218509420012,876634,4/26/2016,"$340,000",000917 BLAKE AVE,GLENWOOD,ONE STORY,1893,3,1.5,1264,Section: 9 Township: 6 Range: 89 Subdivision: ORIGINAL TWNSTE. GLENWOOD Block: 25 Lot: 23 AND:- Lot: 24
R083691,218527134001,877889,5/25/2016,"$317,500",003642-003644 82 HWY,GLENWOOD,MANUFACTURED HUD,1995,3,2,1288,Section: 27 Township: 6 Range: 89 Lot: 1 JANUSZ EXEMPTION
R031104,218516114006,857408,12/19/2014,"$349,000",000315 PARK DR,GLENWOOD,ONE STORY,1963,3,1.75,1293,Section: 16 Township: 6 Range: 89 Subdivision: SOUTH PARK SUB. Block: 4 Lot: 6 EXPECT S 5' OF LOT 6
R330308,218522302071,874221,2/26/2016,"$330,000",003706 RED BLUFF LN,GLENWOOD,ONE STORY,1980,3,1,1297,Section: 22 Township: 6 Range: 89 Subdivision: GLENWOOD PARK SUB Lot: 71
R005560,218527209013,869502,10/16/2015,"$357,000",004262 MORGAN ST,GLENWOOD,TWO STORY WITH BASEMENT,2000,3,2.5,1332,Section: 27 Township: 6 Range: 89 Subdivision: CARDIFF GLEN PUD Lot: 81
R005560,218527209013,871673,12/16/2015,"$345,000",004262 MORGAN ST,GLENWOOD,TWO STORY WITH BASEMENT,2000,3,2.5,1332,Section: 27 Township: 6 Range: 89 Subdivision: CARDIFF GLEN PUD Lot: 81
R007320,218527218011,863041,5/22/2015,"$349,000",001574 SHEPHERDS LN,GLENWOOD,TWO STORY WITH BASEMENT,2002,2,2,1332,Section: 27 Township: 6 Range: 89 Subdivision: CARDIFF GLEN PUD Lot: 47 FILING 2
R330170,218522302079,853751,8/29/2014,"$335,000",003803 OLD LODGE RD,GLENWOOD,ONE STORY,1978,3,2,1332,Section: 22 Township: 6 Range: 89 Subdivision: GLENWOOD PARK SUB Lot: 79
R540054,218522314052,877846,5/25/2016,"$403,000",001008 PARK WEST DR,GLENWOOD,ONE STORY,1996,3,2,1344,Section: 22 Township: 6 Range: 89 Subdivision: PARK WEST SUBDIVISION Lot: 52
R031090,218509430008,853627,9/15/2014,"$285,000",001026 BLAKE AVE,GLENWOOD,ONE STORY WITH BASEMENT,1938,3,1.75,1352,Section: 9 Township: 6 Range: 89 Subdivision: ORIGINAL TWNSTE. GLENWOOD Block: 15 Lot: 13 AND:- Lot: 14
R041581,218527223003,867505,8/28/2015,"$395,000",004275 FANNING PL,GLENWOOD,TWO STORY WITH BASEMENT,2006,3,2.5,1372,Section: 27 Township: 6 Range: 89 Subdivision: CARDIFF GLEN PUD FILING 6 Lot: 3
R041585,218527223007,858744,1/29/2015,"$385,000",004255 FANNING PL,GLENWOOD,TWO STORY WITH BASEMENT,2006,3,2.5,1372,Section: 27 Township: 6 Range: 89 Subdivision: CARDIFF GLEN PUD FILING 6 Lot: 7
R007323,218527218014,860565,3/19/2015,"$385,000",001546 SHEPHERDS LN,GLENWOOD,TWO STORY WITH BASEMENT,2002,3,2.5,1376,Section: 27 Township: 6 Range: 89 Subdivision: CARDIFF GLEN PUD Lot: 50 FILING 2
R043413,239512228219,879078,6/29/2016,"$405,000",000691 RIVER BEND WAY,GLENWOOD,ONE STORY,2007,3,2,1389,"Section: 12 Township: 7 Range: 89 Subdivision: IRONBRIDGE PUD, PHASE II, FILING 1, 2 & 3 Lot: 219"
R043426,239512128233,863217,5/22/2015,"$400,000",000622 RIVER BEND WAY,GLENWOOD,ONE STORY,2007,3,2,1389,"Section: 12 Township: 7 Range: 89 Subdivision: IRONBRIDGE PUD, PHASE II, FILING 1, 2 & 3 Lot: 233"
R080680,218521402013,852014,7/31/2014,"$294,000",000125 156 COUNTY RD,GLENWOOD,ONE STORY,1957,2,1.75,1400,Section: 21 Township: 6 Range: 89 Subdivision: MIDLAND GRADE SUB. Lot: 7
R311259,218509432005,878719,6/21/2016,"$389,000",001026 PALMER AVE,GLENWOOD,ONE STORY,1887,2,2,1430,Section: 9 Township: 6 Range: 89 Subdivision: ORIGINAL TWNSTE. GLENWOOD Block: 13 Lot: 12 THRU:- Lot: 14
R007321,218527218012,874145,2/25/2016,"$330,000",001566 SHEPHERDS LN,GLENWOOD,ONE STORY WITH BASEMENT,2002,2,2,1470,Section: 27 Township: 6 Range: 89 Subdivision: CARDIFF GLEN PUD Lot: 48 FILING 2
R031776,218510333010,854622,10/9/2014,"$339,000",001108 MINTER AVE,GLENWOOD,ONE STORY WITH BASEMENT,1973,3,2,1496,Section: 10 Township: 6 Range: 89 Subdivision: ORIGINAL TWNSTE. GLENWOOD Block: 8 Lot: 29 AND:- Lot: 30 W 17.5' OF LINCOLN AVENUE LYING E OF LOT 29 & 30
R311591,218509306008,869274,10/12/2015,"$369,000",001105 RED MOUNTAIN DR,GLENWOOD,TRI LEVEL,1961,3,1.75,1496,Section: 9 Township: 6 Range: 89 Subdivision: WALZ SUB Block: 1 Lot: 12
R060009,218527100022,873698,2/11/2016,"$370,000",002127 154 COUNTY RD,GLENWOOD,MODULAR UBC IRC,2016,3,2,1512,"Section: 27 Township: 6 Range: 89 TR IN N1/2NE LYING WLY OF OLD HWY 82, ELY OF OF C/L OF ROARING FORK RVR"
R060009,218527100022,878376,6/10/2016,"$540,300",002127 154 COUNTY RD,GLENWOOD,MODULAR UBC IRC,2016,3,2,1512,"Section: 27 Township: 6 Range: 89 TR IN N1/2NE LYING WLY OF OLD HWY 82, ELY OF OF C/L OF ROARING FORK RVR"
R330182,218522302091,870965,11/30/2015,"$422,000",001098 VALLEY VIEW RD,GLENWOOD,ONE WITH HALF STORY,1980,3,2,1520,Section: 22 Township: 6 Range: 89 Subdivision: GLENWOOD PARK SUB Lot: 91
R540052,218522314050,877895,5/31/2016,"$405,000",001004 PARK WEST DR,GLENWOOD,ONE STORY,1990,3,2,1520,Section: 22 Township: 6 Range: 89 Subdivision: PARK WEST SUBDIVISION Lot: 50
R020471,218505206006,862227,5/1/2015,"$400,000",000115 VISTA DR,GLENWOOD,ONE STORY WITH BASEMENT,1968,3,1.75,1536,Section: 5 Township: 6 Range: 89 Subdivision: VISTA HEIGHTS SUB. Block: 6 Lot: 1 EXCEPT A TR.
R312169,218509315002,870520,11/10/2015,"$360,000",000925 RED MOUNTAIN DR,GLENWOOD,ONE WITH HALF STORY,1949,3,1.75,1538,Section: 9 Township: 6 Range: 89 Subdivision: HATCH AMENDED PLAT Lot: 37A
R311533,218509403013,858588,1/20/2015,"$315,000",000739 BENNETT AVE,GLENWOOD,TWO STORY,1897,3,1.75,1552,Section: 9 Township: 6 Range: 89 Subdivision: ORIGINAL TWNSTE. GLENWOOD Block: 46 Lot: 21 AND:- Lot: 22 PT OF
R020106,211934302010,878519,6/15/2016,"$375,000",000349 130 COUNTY RD,GLENWOOD,TRI LEVEL,1960,3,1.75,1602,Section: 34 Township: 5 Range: 89 Subdivision: WESTERN HILLS SUB. Block: 2 Lot: 11
R031020,218521100023,862132,4/29/2015,"$390,000",003138 S GRAND AVE,GLENWOOD,ONE STORY,1950,3,1.5,1603,Section: 21 Township: 6 Range: 89 TR IN SENE
R005986,186314300095,854618,10/8/2014,"$520,000",001297 150 COUNTY RD,GLENWOOD,ONE WITH HALF STORY,1969,2,1.5,1613,Section: 14 Township: 3 Range: 87 A TR IN THE SESW. SEC 23: NWNW & NESW CONT. 8.60 AC.
R330181,218522302013,867896,9/9/2015,"$382,000",000996 GLEN OAK LN,GLENWOOD,TWO STORY,1980,3,1.7,1642,Section: 22 Township: 6 Range: 89 Subdivision: GLENWOOD PARK SUB Lot: 13
R020114,211934304004,865958,7/27/2015,"$391,000",000244 MOUNTAIN SHADOWS DR,GLENWOOD,TRI LEVEL,1972,3,1.75,1658,Section: 34 Township: 5 Range: 89 Subdivision: WESTERN HILLS SUB. Block: 4 Lot: 4
R005628,218527115047,863607,6/3/2015,"$410,000",004021 SKY RANCH DR,GLENWOOD,TWO STORY,2001,3,2.5,1660,Section: 27 Township: 6 Range: 89 Subdivision: PARK EAST SUBDIVISION Lot: 47
R311107,218509430009,867498,9/1/2015,"$310,000",001030 BLAKE AVE,GLENWOOD,ONE STORY WITH BASEMENT,1940,3,1.75,1664,Section: 9 Township: 6 Range: 89 Subdivision: ORIGINAL TWNSTE. GLENWOOD Block: 15 Lot: 15 AND:- Lot: 16
R031006,218509423009,864352,6/22/2015,"$445,000",000931 COLORADO AVE,GLENWOOD,ONE WITH HALF STORY,1898,3,2,1708,Section: 9 Township: 6 Range: 89 Subdivision: ORIGINAL TWNSTE. GLENWOOD Block: 22 Lot: 17 AND:- Lot: 18
R041588,218527223010,856573,11/24/2014,"$334,000",004231 FANNING PL,GLENWOOD,TWO STORY WITH BASEMENT,2007,2,2.5,1710,Section: 27 Township: 6 Range: 89 Subdivision: CARDIFF GLEN PUD FILING 6 Lot: 10
R031612,218509442001,866634,7/24/2015,"$380,500",001202 PITKIN AVE,GLENWOOD,ONE STORY WITH BASEMENT,1898,2,1.75,1724,Section: 9 Township: 6 Range: 89 Subdivision: SOUTH ADD. (GS) Block: 6 Lot: 1
R330057,218522302104,867971,9/14/2015,"$385,000",001111 VALLEY VIEW RD,GLENWOOD,ONE STORY WITH BASEMENT,1981,3,2,1724,Section: 22 Township: 6 Range: 89 Subdivision: GLENWOOD PARK SUB Lot: 104
R020309,211935301009,872163,1/4/2016,"$405,000",000070 PTARMIGAN LN,GLENWOOD,TRI LEVEL,1972,4,2,1728,Section: 35 Township: 5 Range: 89 Subdivision: CEDAR CREST SUB. Block: 1 Lot: 12
R045736,211934200033,867967,9/10/2015,"$550,000",001416 132 COUNTY RD,GLENWOOD,ONE STORY WITH BASEMENT,1937,2,2,1743,Section: 34 Township: 5 Range: 89 A PARCEL OF LAND IN SECT. 34 SAID PARCEL BEING A PORTION OF THAT PARCEL OF LAND AS SHOWN AS LOT 2 ON THE STEELE SUBDIVISION EXEMPTION PLAT REC# 532990. AKA LOT 2 STEELE SUBDIVISION EXEMPTION
R031619,218515301010,870439,11/13/2015,"$395,000",000714 23RD ST,GLENWOOD,ONE STORY WITH BASEMENT,1968,3,1.5,1754,Section: 15 Township: 6 Range: 89 Subdivision: CRESTWOOD PARK SUB. Lot: 13
R031973,218521104031,877473,5/20/2016,"$289,000",003006 SOPRIS AVE,GLENWOOD,ONE STORY,1950,3,1,1760,Section: 21 Township: 6 Range: 89 Subdivision: VALLEY VIEW FARMS SUB Block: 3 Lot: 31
R330395,218504305001,876158,4/18/2016,"$435,000",000602 N TRAVER TRL,GLENWOOD,BI LEVEL,1982,5,2.75,1768,Section: 4 Township: 6 Range: 89 Subdivision: OASIS CREEK SUB-RESUB TRCT B Lot: 1
R005548,218527209008,856256,11/17/2014,"$315,000",001657 WINTERS LN,GLENWOOD,ONE STORY WITH BASEMENT,2000,3,2,1770,Section: 27 Township: 6 Range: 89 Subdivision: CARDIFF GLEN PUD Lot: 69
R031693,218515301006,879309,6/30/2016,"$310,000",002203 CRESTWOOD DR,GLENWOOD,ONE STORY WITH BASEMENT,1970,2,1.75,1776,Section: 15 Township: 6 Range: 89 Subdivision: CRESTWOOD PARK SUB. Lot: 9
R330306,218516202006,865924,7/17/2015,"$330,000",001309 OAK WAY AVE,GLENWOOD,TRI LEVEL,1979,3,2,1779,Section: 16 Township: 6 Range: 89 Subdivision: RED MTN. TERRACE SUB. Lot: 6
R043344,239512127172,872770,1/15/2016,"$581,000",000021 BENT GRASS DR,GLENWOOD,TWO STORY,2015,3,2.5,1782,"Section: 12 Township: 7 Range: 89 Subdivision: IRONBRIDGE PUD, PHASE II, FILING 1, 2 & 3 Lot: 172"
R031127,218509436010,864142,6/12/2015,"$450,000",000412 11TH ST,GLENWOOD,TWO STORY WITH BASEMENT,1903,4,1.5,1800,Section: 9 Township: 6 Range: 89 Subdivision: ORIGINAL TWNSTE. GLENWOOD Block: 5 Lot: 30 THRU:- Lot: 32
R043485,239501329269,879123,6/29/2016,"$535,100",000025 EAGLE CLAW CIR,GLENWOOD,ONE STORY,2016,3,2.5,1810,"Quarter: SW Section: 1 Township: 7 Range: 89 Subdivision: IRONBRIDGE PUD, PHASE II, FILING 1, 2 & 3 Block: 3 Lot: 269 AMENDED PLAT OF BLOCK 3OF PHASE II, IRONBRIDGE PLANNED UNIT DEVELOPMENT PHASE II, FILINGS 1, 2, & 3 RECEPTION # 851641"
R043474,239501329258,861074,3/27/2015,"$529,000",000179 RIVER VISTA,GLENWOOD,ONE STORY,2014,3,2.5,1812,"Section: 1 Township: 7 Range: 89 Subdivision: IRONBRIDGE PUD, PHASE II, FILING 1, 2 & 3 Lot: 258"
R311057,218510333011,874569,3/4/2016,"$365,000",001104 MINTER AVE,GLENWOOD,ONE STORY WITH BASEMENT,1973,3,2,1832,"Section: 10 Township: 6 Range: 89 Subdivision: ORIGINAL TWNSTE. GLENWOOD Block: 8 Lot: 31 AND:- Lot: 32, Subdivision: ORIGINAL TWNSTE. GLENWOOD Lot: 0 AND:- Lot: 0 AND:- Lot: 0 W 17.5' OF LINCOLN AVE., LYING E OF LOTS 31 & 32 BLK 8 & THE S 37.5' OF 11TH ST., LYING N OF LOT 32 BLK 8"
R041421,239512118105,878920,6/17/2016,"$426,000",000195 RIVER BEND WAY,GLENWOOD,ONE STORY,2006,3,2.5,1841,Section: 12 Township: 7 Range: 89 Subdivision: IRONBRIDGE PUD Lot: 105 PHASE 1
R041428,239512118112,865066,7/7/2015,"$534,000",000126 WILD ROSE DR,GLENWOOD,ONE STORY,2007,3,2.5,1841,Section: 12 Township: 7 Range: 89 Subdivision: IRONBRIDGE PUD Lot: 112 PHASE 1
R043356,239512127184,876817,5/2/2016,"$437,000",000144 BENT GRASS DR,GLENWOOD,ONE STORY,2007,3,2.5,1841,"Section: 12 Township: 7 Range: 89 Subdivision: IRONBRIDGE PUD, PHASE II, FILING 1, 2 & 3 Lot: 184"
R330298,218522302105,877588,5/18/2016,"$400,000",003700 MOUNTAIN DR,GLENWOOD,BI LEVEL,1980,3,2.5,1864,Section: 22 Township: 6 Range: 89 Subdivision: GLENWOOD PARK SUB Lot: 105
R330515,218522302083,852807,8/19/2014,"$362,000",003695 VALLEY VIEW RD,GLENWOOD,TWO STORY,1979,3,1.75,1869,Section: 22 Township: 6 Range: 89 Subdivision: GLENWOOD PARK SUB Lot: 83
R031589,218516112012,862809,5/14/2015,"$375,000",000113 POLO RD,GLENWOOD,ONE STORY WITH BASEMENT,1952,3,1,1872,Section: 16 Township: 6 Range: 89 Subdivision: SOUTH PARK SUB. Block: 2 Lot: 12
R080691,218527107005,855520,10/28/2014,"$200,000",000189 160 COUNTY RD,GLENWOOD,ONE STORY WITH BASEMENT,1888,3,1,1888,"Section: 27 Township: 6 Range: 89 Subdivision: CARDIFF, TOWNSITE-REPLAT Block: 2 Lot: D AND:- Lot: E"
R312416,218510202012,864921,7/1/2015,"$461,000",000716 LINCOLN AVE,GLENWOOD,TWO STORY WITH BASEMENT,2003,2,2.5,1891,Section: 10 Township: 6 Range: 89 Subdivision: ORIGINAL TWNSTE. GLENWOOD Block: 52 Lot: 12 AND:- Lot: 13
R005629,218527115048,873377,2/5/2016,"$445,000",004019 SKY RANCH DR,GLENWOOD,TRI LEVEL,2001,4,3,1902,Section: 27 Township: 6 Range: 89 Subdivision: PARK EAST SUBDIVISION Lot: 48
R020193,211934406003,869649,10/16/2015,"$378,200",000330 MEL RAY RD,GLENWOOD,TRI LEVEL,1965,3,1.75,1902,Section: 34 Township: 5 Range: 89 Subdivision: WESTERN HILLS SUB. Block: 6 Lot: 3
R043358,239512127186,867151,8/24/2015,"$487,000",000096 BENT GRASS DR,GLENWOOD,TWO STORY,2007,3,3,1937,"Section: 12 Township: 7 Range: 89 Subdivision: IRONBRIDGE PUD, PHASE II, FILING 1, 2 & 3 Lot: 186"
R043419,239512128226,854211,9/22/2014,"$450,000",000454 RIVER BEND WAY,GLENWOOD,TWO STORY,2007,3,3,1937,"Section: 12 Township: 7 Range: 89 Subdivision: IRONBRIDGE PUD, PHASE II, FILING 1, 2 & 3 Lot: 226"
R043434,239512228241,867989,9/15/2015,"$525,000",000814 RIVER BEND WAY,GLENWOOD,TWO STORY,2007,3,3,1937,"Section: 12 Township: 7 Range: 89 Subdivision: IRONBRIDGE PUD, PHASE II, FILING 1, 2 & 3 Lot: 241"
R312086,218509416017,876013,4/15/2016,"$510,000",000802 PALMER AVE,GLENWOOD,ONE WITH HALF STORY,1903,4,3.25,1940,Section: 9 Township: 6 Range: 89 Subdivision: ORIGINAL TWNSTE. GLENWOOD Block: 33 Lot: 1 THRU:- Lot: 3 EXCEPT A TR. IN LOT 3
R311377,218516118001,857317,12/17/2014,"$415,000",001628 BENNETT AVE,GLENWOOD,ONE STORY WITH BASEMENT,1973,4,2,1962,Section: 16 Township: 6 Range: 89 Subdivision: HYLAND PK ADD (PT OF BLK 1-6) Block: 3 Lot: 1
R300090,186323200050,872930,1/26/2016,"$545,000",1195 150 COUNTY  RD,GLENWOOD,TWO STORY WITH BASEMENT,2009,3,2.5,1964,Section: 23 Township: 3 Range: 87 A TR IN NENW
R020228,211934403019,866552,8/7/2015,"$385,000",000095 CHAPPARAL CIR,GLENWOOD,TRI LEVEL,1962,4,3.5,1970,Section: 34 Township: 5 Range: 89 Subdivision: WESTERN HILLS SUB. Block: 3 Lot: 20
R330337,218504202007,863105,5/26/2015,"$554,000",000812 N TRAVER TRL,GLENWOOD,ONE STORY WITH BASEMENT,2006,3,2,1972,Section: 4 Township: 6 Range: 89 Subdivision: OASIS CREEK SUB AMENDED Block: 2 Lot: 7
R330054,218522302100,874899,3/9/2016,"$450,500",001099 VALLEY VIEW RD,GLENWOOD,BI LEVEL,1979,4,2,1976,Section: 22 Township: 6 Range: 89 Subdivision: GLENWOOD PARK SUB Lot: 100
R005594,218527115013,865993,7/27/2015,"$419,000",004207 SKY RANCH DR,GLENWOOD,TWO STORY WITH BASEMENT,2001,4,3.5,1986,Section: 27 Township: 6 Range: 89 Subdivision: PARK EAST SUBDIVISION Lot: 13
R007987,239503309024,875525,4/4/2016,"$570,000",40 LAIRD LN,GLENWOOD,ONE STORY,2015,3,2,1986,Section: 3 Township: 7 Range: 89 Subdivision: SUNLIGHT VIEW II SUB-DIV Lot: 24
R020070,218506102007,861883,4/22/2015,"$290,000",262 MEL RAY RD,GLENWOOD,ONE STORY WITH BASEMENT,1950,3,1.75,1991,"Section: 6 Township: 6 Range: 89 Subdivision: MEL-RAY SUB. Block: 2 Lot: 6, Subdivision: MEL-RAY SUB. Lot: 7 N 27' OF"
R080473,218535403026,860573,3/17/2015,"$545,500",000416 MEADOW LN,GLENWOOD,ONE STORY,1992,3,1.75,1993,Section: 35 Township: 6 Range: 89 Subdivision: WESTBANK RANCH SUB. #3 Lot: 26
R005556,218527209017,857374,12/18/2014,"$330,000",004278 MORGAN ST,GLENWOOD,TWO STORY WITH BASEMENT,2000,3,3,1998,Section: 27 Township: 6 Range: 89 Subdivision: CARDIFF GLEN PUD Lot: 77
R005556,218527209017,878418,6/6/2016,"$389,000",004278 MORGAN ST,GLENWOOD,TWO STORY WITH BASEMENT,2000,3,3,1998,Section: 27 Township: 6 Range: 89 Subdivision: CARDIFF GLEN PUD Lot: 77
R005564,218527209019,855592,10/31/2014,"$340,000",004257 CULVER CIR,GLENWOOD,TWO STORY WITH BASEMENT,2000,4,3.25,1998,Section: 27 Township: 6 Range: 89 Subdivision: CARDIFF GLEN PUD Lot: 85
R005567,218527209022,872250,1/6/2016,"$375,000",004273 CULVER CIR,GLENWOOD,TWO STORY WITH BASEMENT,2000,3,2.5,1998,Section: 27 Township: 6 Range: 89 Subdivision: CARDIFF GLEN PUD Lot: 88
R007330,218527218021,866961,8/17/2015,"$330,000",001521 SHEPHERDS LN,GLENWOOD,TWO STORY WITH BASEMENT,2002,3,3.5,1998,Section: 27 Township: 6 Range: 89 Subdivision: CARDIFF GLEN PUD Lot: 57 FILING 2
R330199,218522302067,857330,12/11/2014,"$375,000",003711 RED BLUFF LN,GLENWOOD,TWO STORY,1981,4,2.5,2014,Section: 22 Township: 6 Range: 89 Subdivision: GLENWOOD PARK SUB Lot: 67
R330133,218516202025,853325,9/4/2014,"$485,000",001318 RIVERVIEW AVE,GLENWOOD,BI LEVEL,1978,3,2,2024,Section: 16 Township: 6 Range: 89 Subdivision: RED MTN. TERRACE SUB. Lot: 25
R080193,218528100004,862350,4/30/2015,"$495,000",000558 127 COUNTY RD,GLENWOOD,LOG HOME,1995,2,2,2036,Section: 28 Township: 6 Range: 89 TR IN N1/2NE
R041580,218527223002,878966,6/27/2016,"$400,000",004279 FANNING PL,GLENWOOD,TWO STORY WITH BASEMENT,2006,3,2.5,2058,Section: 27 Township: 6 Range: 89 Subdivision: CARDIFF GLEN PUD FILING 6 Lot: 2
R041586,218527223008,855196,10/23/2014,"$318,500",004251 FANNING PL,GLENWOOD,TWO STORY WITH BASEMENT,2006,3,2.5,2058,Section: 27 Township: 6 Range: 89 Subdivision: CARDIFF GLEN PUD FILING 6 Lot: 8
R041594,218527223016,868974,10/2/2015,"$372,000",004266 FANNING PL,GLENWOOD,TWO STORY WITH BASEMENT,2005,2,3.5,2058,Section: 27 Township: 6 Range: 89 Subdivision: CARDIFF GLEN PUD FILING 6 Lot: 16
R031205,218516114002,878525,6/16/2016,"$415,800",000307 PARK DR,GLENWOOD,ONE STORY WITH BASEMENT,1964,4,1.75,2084,Section: 16 Township: 6 Range: 89 Subdivision: SOUTH PARK SUB. Block: 4 Lot: 2
R312245,218522313014,853666,9/12/2014,"$385,000",001124 WESTLOOK DR,GLENWOOD,TWO STORY,1992,3,2.5,2090,Section: 22 Township: 6 Range: 89 Subdivision: SOPRIS STATION SUBD TRACT F Lot: 14
R005569,218527209024,856751,11/14/2014,"$340,000",004280 CULVER CIR,GLENWOOD,TWO STORY WITH BASEMENT,2000,4,3,2094,Section: 27 Township: 6 Range: 89 Subdivision: CARDIFF GLEN PUD Lot: 90 FILING 1
R043507,239501429291,877853,5/26/2016,"$549,000",001339 RIVER BEND WAY,GLENWOOD,ONE WITH HALF STORY,2016,3,3,2130,"Quarter: SE Section: 1 Township: 7 Range: 89 Subdivision: IRONBRIDGE PUD, PHASE II, FILING 1, 2 & 3 Block: 2 Lot: 291 AMENDED PLAT OF BLOCK 2 OF PHASE II, IRONBRIDGE PLANNED UNIT DEVELOPMENT PHASE II, FILINGS 1, 2, & 3 RECEPTION # 851641"
R330212,218522302022,874155,2/26/2016,"$479,000",000989 COTTONWOOD LN,GLENWOOD,BI LEVEL,1980,3,2,2132,Section: 22 Township: 6 Range: 89 Subdivision: GLENWOOD PARK SUB Lot: 22
R330162,218516202018,872165,1/4/2016,"$425,000",001306 OAK WAY AVE,GLENWOOD,ONE STORY WITH BASEMENT,1979,4,1.75,2150,Section: 16 Township: 6 Range: 89 Subdivision: RED MTN. TERRACE SUB. Lot: 18
R020118,218505202004,876642,4/29/2016,"$464,000",000065 FAIRVIEW DR,GLENWOOD,BI LEVEL,1972,3,2.5,2162,Section: 5 Township: 6 Range: 89 Subdivision: VISTA HEIGHTS SUB. Block: 2 Lot: 5
R311592,218509306003,855495,10/31/2014,"$380,000",001124 WALZ AVE,GLENWOOD,ONE STORY WITH BASEMENT,1984,3,2.5,2192,Section: 9 Township: 6 Range: 89 Subdivision: WALZ SUB Block: 1 Lot: 6
R540030,218522314028,859707,2/27/2015,"$461,500",001039 PARK WEST DR,GLENWOOD,ONE STORY WITH BASEMENT,1993,4,2,2202,Section: 22 Township: 6 Range: 89 Subdivision: PARK WEST SUBDIVISION Lot: 28
R020221,211935303005,866023,7/29/2015,"$405,000",000180 ROCK LEDGE DR,GLENWOOD,ONE STORY WITH BASEMENT,1983,3,2.5,2206,Section: 35 Township: 5 Range: 89 Subdivision: CEDAR CREST SUB. Block: 3 Lot: 5
R080131,239503105003,861108,3/20/2015,"$456,000",000021 ALPINE CT,GLENWOOD,ONE STORY WITH BASEMENT,1979,4,3,2208,Section: 3 Township: 7 Range: 89 Subdivision: SUNLIGHT VIEW SUB-2ND AMD Block: 5 Lot: 3
R043420,239512128227,867373,8/28/2015,"$510,000",000478 RIVER BEND WAY,GLENWOOD,TWO STORY,2007,3,3,2215,"Section: 12 Township: 7 Range: 89 Subdivision: IRONBRIDGE PUD, PHASE II, FILING 1, 2 & 3 Lot: 227"
R020283,218506200010,856251,11/20/2014,"$422,500",000212 130 COUNTY RD,GLENWOOD,ONE STORY,1969,4,3.25,2224,Section: 6 Township: 6 Range: 89 TR IN LOT 3 150' X 100' LYING S OF CO. RD. 130
R005634,218527115053,875433,3/31/2016,"$495,000",004009 SKY RANCH DR,GLENWOOD,TWO STORY,2001,4,3,2229,Section: 27 Township: 6 Range: 89 Subdivision: PARK EAST SUBDIVISION Lot: 53
R020230,211934411009,874461,3/1/2016,"$375,000",000033 CARDINAL LN,GLENWOOD,BI LEVEL,1990,3,2.5,2234,Section: 34 Township: 5 Range: 89 Subdivision: CEDAR CREST SUB. Block: 7 Lot: 11
R043440,239501328247,867106,8/20/2015,"$595,100",000958 RIVER BEND WAY,GLENWOOD,ONE STORY WITH BASEMENT,2014,3,2.75,2235,"Section: 1 Township: 7 Range: 89 Subdivision: IRONBRIDGE PUD, PHASE II, FILING 1, 2 & 3 Lot: 247"
