Account,Parcel Number,Reception,Sale Date,Sale Price,Situs Address,Location,Classification,Architectural Style,Actual Year Built,Bedrooms,Baths,Heated Area,Legal
R042542,239334269004,866171,7/27/2015,"$426,000",000339 CLEVELAND PL,CARBONDALE,Townhome,TWO STORY,2006,3,2.75,1728,Section: 34 Township: 7 Range: 88 Subdivision: CLEVELAND PLACE SUBDIVISION Lot: 2A
R340955,239333414003,862463,5/6/2015,"$365,000",001374 BARBER DR,CARBONDALE,Townhome,TWO STORY,1982,3,2.5,1738,Section: 33 Township: 7 Range: 88 Subdivision: CRYSTAL VILLAGE PUD 6TH Block: 14 Lot: 3 RESUB (AMENDED)
R045818,23933430M010,855283,10/22/2014,"$343,000",000885 COLORADO AVE,CARBONDALE,Townhome,TWO STORY,1977,3,1.5,1760,Section: 34 Township: 7 Range: 88 Subdivision: ELLEN MANOR Lot: 10 A RESUB OF PART OF BLK 12 WEAVERS ADDITION
R044989,23933430C004,857255,12/17/2014,"$418,000",000939 MAIN ST,CARBONDALE,Townhome,TWO STORY,2013,2,2.5,1800,Section: 34 Township: 7 Range: 88 Subdivision: MOUNTAIN SAGE TOWNHOMES Lot: A4
R044993,23933430C008,856401,11/24/2014,"$450,000",000963 MAIN ST,CARBONDALE,Townhome,TWO STORY,2013,3,2.5,1800,Section: 34 Township: 7 Range: 88 Subdivision: MOUNTAIN SAGE TOWNHOMES Lot: B4
R340363,246303204018,853264,8/28/2014,"$298,000",000621 S 2ND ST #U,CARBONDALE,Townhome,TWO STORY,1974,3,2.5,1824,Section: 3 Township: 8 Range: 88 Subdivision: SOPRIS PARK TOWNHOUSES Block: 4 Lot: 18 EXCEPT SWLY 1'
R340238,246303104025,872148,1/4/2016,"$273,000",000681 S 2ND ST #G,CARBONDALE,Townhome,TWO STORY,1974,3,3,1824,"Section: 3 Township: 8 Range: 88 Subdivision: SOPRIS PARK TOWNHOUSES, Block: 4 Lot: 25 SOPRIS MEADOWS # 3"
R040451,239334444001,853112,8/28/2014,"$373,500",000125 GARFIELD AVE,CARBONDALE,Townhome,TWO STORY,2003,3,2.5,1832,Section: 34 Township: 7 Range: 88 Subdivision: 119 GARFIELD AVENUE SUB Lot: AA
R341023,239334213017,859341,2/18/2015,"$421,744",000933 VILLAGE RD #B,CARBONDALE,Condo,CONDO,1981,4,2.5,1880,Section: 34 Township: 7 Range: 88 DESC: LOT 2 Subdivision: CONESTOGA CONDOS Unit: 933-B
R341023,239334213017,864424,5/28/2015,"$327,000",000933 VILLAGE RD #B,CARBONDALE,Condo,CONDO,1981,4,2.5,1880,Section: 34 Township: 7 Range: 88 DESC: LOT 2 Subdivision: CONESTOGA CONDOS Unit: 933-B
R008525,246303229016,857723,12/29/2014,"$550,000",001278 CRYSTAL BLUFFS LOOP,CARBONDALE,Townhome,TWO STORY,2001,3,2,1900,"Section: 3 Township: 8 Range: 88 Subdivision: CRYSTAL BLUFFS TOWNHOMES Block: II Lot: 8A AMENDED LOT 8, RIVER VALLEY RANCH PH 5A."
R007735,246303233001,870508,11/10/2015,"$602,500",000391 BOUNDARY LN,CARBONDALE,Condo,CONDO,2001,2,2,1912,Section: 3 Township: 8 Range: 88 DESC: BLDG 2 Subdivision: BOUNDARY AT RIVER VALLEY RANCH CONDOS Unit: 1
R340981,239334216003,874712,3/11/2016,"$400,000",001004 WHEEL CIR,CARBONDALE,Townhome,TWO STORY,1981,3,2.5,2000,Section: 34 Township: 7 Range: 88 Subdivision: LIGHTNER ESTATES Lot: 10C
R045078,246303332002,862388,4/29/2015,"$675,000",433 BOUNDARY LN,CARBONDALE,Townhome,TWO STORY,2008,2,2.5,2047,"Section: 3 Township: 8 Range: 88 Subdivision: BOUNDARY AT RIVER VALLEY RANCH, 1ST AMENDED Lot: 6B A RESUB OF LOT 6"
R082875,246303334002,865678,7/17/2015,"$720,000",453 BOUNDARY  LN,CARBONDALE,Townhome,TWO STORY,2008,3,3,2066,"Quarter: SW Section: 3 Township: 8 Range: 88 Subdivision: BOUNDARY AT RIVER VALLEY RANCH, 1ST AMENDED Lot: 8B RESUB OF LOT 8"
R340184,246303102023,865666,7/20/2015,"$310,000",000575 S 2ND ST,CARBONDALE,Townhome,TWO STORY,1972,4,2.5,2112,Section: 3 Township: 8 Range: 88 Subdivision: SOPRIS MEADOWS #3 Block: 2 Lot: 17 FIRST FILING
R045344,23933430G011,863203,5/28/2015,"$625,000",000345 COLORADO AVE #205,CARBONDALE,Condo,CONDO,2008,4,3,2173,"Section: 34 Township: 7 Range: 88 DESC: A RESUB OF LOT 1A, COLORADO PLACE SUB. EXEMPTION Subdivision: COLORADO PLACE CONDOMINIUMS - PH 1 Unit: 205"
R007119,239319109010,853360,9/3/2014,"$585,000",000064 PRIMROSE RD,CARBONDALE,Townhome,TWO STORY,2000,3,2.5,2293,Section: 19 Township: 7 Range: 88 Subdivision: PEAKS AT ASPEN GLEN Lot: I-1
R007120,239319109011,869801,10/23/2015,"$585,000",000066 PRIMROSE RD,CARBONDALE,Townhome,TWO STORY,2000,3,2.5,2293,Section: 19 Township: 7 Range: 88 Subdivision: PEAKS AT ASPEN GLEN Lot: I-2
R005286,239319109004,865681,7/15/2015,"$635,000",000027 PRIMROSE RD,CARBONDALE,Townhome,TWO STORY,1999,3,2.5,2293,Section: 19 Township: 7 Range: 88 Subdivision: PEAKS AT ASPEN GLEN TOWNHOMES #2 Lot: G1
R820180,239319114002,855312,10/28/2014,"$585,000",000125 GOLDEN BEAR DR,CARBONDALE,Townhome,TWO STORY,1998,3,2.5,2293,Section: 19 Township: 7 Range: 88 Subdivision: PEAKS AT ASPEN GLEN TWHMS FL#1 Lot: A2
R008226,246304129014,853236,8/27/2014,"$587,000",001274 CRYSTAL BLUFFS LOOP,CARBONDALE,Townhome,TWO STORY,2001,3,2.5,2310,"Section: 4 Township: 8 Range: 88 Subdivision: CRYSTAL BLUFFS TOWNHOMES Block: II Lot: 7A RIVER VALLEY RANCH, AMENDED PLAT LOT 7,"
R041065,246304129021,862733,5/12/2015,"$579,000",001264 CRYSTAL BLUFFS LOOP,CARBONDALE,Townhome,TWO STORY,2001,3,2.5,2310,"Section: 4 Township: 8 Range: 88 Subdivision: CRYSTAL BLUFFS TOWNHOMES Block: II Lot: 4-B AT RIVER VALLEY RANCH,AMENDED PLAT LOT 4,A RE-SUB OF BLK II RIVER VALLEY RANCH PH 5A"
R005289,239319109007,857456,12/22/2014,"$547,500",000014 PRIMROSE RD,CARBONDALE,Townhome,TWO STORY,1999,3,2.5,2436,Section: 19 Township: 7 Range: 88 Subdivision: PEAKS AT ASPEN GLEN TOWNHOMES #2 Lot: H1
R820191,239319114013,870736,11/19/2015,"$705,000",000071 GOLDEN BEAR DR,CARBONDALE,Townhome,TWO STORY,1998,4,3.5,2556,Section: 19 Township: 7 Range: 88 Subdivision: PEAKS AT ASPEN GLEN TWHMS FL#1 Lot: E1
R590327,246303103017,867863,9/10/2015,"$390,000",000690 S 2ND ST,CARBONDALE,Townhome,ONE STORY W/ BSMT,1973,3,2,2640,Section: 3 Township: 8 Range: 88 Subdivision: SOPRIS MEADOWS #3 Block: 3 Lot: 14A
R083784,246304130017,875177,3/24/2016,"$827,000",3460 CRYSTAL BRIDGE DR,CARBONDALE,Condo,ONE STORY W/ BSMT,2014,3,3,2757,"Section: 4 Township: 8 Range: 88 Subdivision: TWENTY FOUR Block: JJ Lot: 3 Unit: 1 ACCORDING TO THE AMENDED PLAT FOR LOT 3, BLOCK JJ AS RECEPTION NO. 874550 AND ACCORDING TO THE DECLARATION OF THE RESIDENCES AT CRYSTAL SPRINGS, NOW KNOWN AS TWENTY FOUR REC. #735765"
R082972,239320404115,869240,10/2/2015,"$539,000",0076 UPLAND,CARBONDALE,Townhome,TWO STORY,2010,3,2.5,2828,"Quarter: SE Section: 20 Township: 7 Range: 88 Subdivision: ASPEN GLEN FLG 1 Lot: D-33B AMENDED FINAL PLAT OF LOT D33, A RESUB OF LOT D33"
R082971,239320404114,869991,10/29/2015,"$628,700",0078 UPLAND,CARBONDALE,Townhome,TWO STORY,2010,3,3.5,3154,"Quarter: SE Section: 20 Township: 7 Range: 88 Subdivision: ASPEN GLEN FLG 1 Lot: D-33A AMENDED FINAL PLAT OF LOT D33, A RESUB OF LOT D33"
R045077,246303332001,869170,10/5/2015,"$1,225,000",431 BOUNDARY  LN,CARBONDALE,Townhome,TWO STORY,2008,3,4.5,3334,"Section: 3 Township: 8 Range: 88 Subdivision: BOUNDARY AT RIVER VALLEY RANCH, 1ST AMENDED Lot: 6A A RESUB OF LOT 6"
R045328,239320304114,854462,9/19/2014,"$730,000",000012 SEEBURG CIR,CARBONDALE,Townhome,TWO STORY W/ BSMT,2009,4,4.5,3532,"Section: 20 Township: 7 Range: 88 Subdivision: ASPEN GLEN FLG 1 Lot: D 37 A AMENDED LOT D 37, REC# 754327"
R820188,239319114010,866086,7/30/2015,"$575,000",000072 GOLDEN BEAR DR,CARBONDALE,Townhome,TWO STORY W/ BSMT,1998,4,3.5,3892,Section: 19 Township: 7 Range: 88 Subdivision: PEAKS AT ASPEN GLEN TWHMS FL#1 Lot: D1
R045329,239320304115,863905,6/1/2015,"$779,000",000210 E DIAMOND A RANCH RD,CARBONDALE,Townhome,TWO STORY W/ BSMT,2009,4,5,4082,"Section: 20 Township: 7 Range: 88 Subdivision: ASPEN GLEN FLG 1 Lot: D 37 B AMENDED LOT D 37, REC# 754327"
R830190,239320304096,867501,8/28/2015,"$814,500",000158 SEEBURG CIR #A,CARBONDALE,Townhome,TWO STORY,1996,3,3.5,4474,Section: 20 Township: 7 Range: 88 Subdivision: ASPEN GLEN FLG 1 Lot: D-40A
R830198,239320404102,870783,11/20/2015,"$780,000",000245 SNOWCAP CIR #A,CARBONDALE,Townhome,TWO STORY W/ BSMT,1998,5,5.5,4854.75,Section: 20 Township: 7 Range: 88 Subdivision: ASPEN GLEN FLG 1 Lot: D-13A RESUB OF LOT D-13
R080392,239533301002,867506,8/28/2015,"$75,000",011101 117 COUNTY RD #2A,GLENWOOD,Condo,CONDO,1968,1,1,400,Section: 33 Township: 7 Range: 89 Subdivision: BRETTELBERG CONDOS Unit: 2-A
R080398,239533301008,864368,6/22/2015,"$84,900",011101 FOUR MILE RD #8A,GLENWOOD,Condo,CONDO,1968,1,1,400,Section: 33 Township: 7 Range: 89 Subdivision: BRETTELBERG CONDOS Unit: 8-A
R080413,239533302005,864119,6/12/2015,"$80,000",011101 117 COUNTY RD #5C,GLENWOOD,Condo,CONDO,1968,1,1,400,Section: 33 Township: 7 Range: 89 Subdivision: BRETTELBERG CONDOS Unit: 5-C
R080425,239533303004,869509,10/15/2015,"$72,500",011101 117 COUNTY RD #4E,GLENWOOD,Condo,CONDO,1968,1,1,400,Section: 33 Township: 7 Range: 89 Subdivision: BRETTELBERG CONDOS Unit: 4-E
R080432,239533303013,868199,9/17/2015,"$120,000",011101 117 COUNTY RD #4F,GLENWOOD,Condo,CONDO,1968,1,1,400,Section: 33 Township: 7 Range: 89 Subdivision: BRETTELBERG CONDOS Unit: 4-F
R080439,239533303017,875412,3/31/2016,"$82,500",011101 117 COUNTY RD #8F,GLENWOOD,Condo,CONDO,1968,1,1,400,Section: 33 Township: 7 Range: 89 Subdivision: BRETTELBERG CONDOS Unit: 8-F
R080443,239533303021,873029,1/26/2016,"$110,000",011101 117 COUNTY RD #3G,GLENWOOD,Condo,CONDO,1968,1,1,400,Section: 33 Township: 7 Range: 89 Subdivision: BRETTELBERG CONDOS Unit: 3-G
R007896,218516104009,873050,1/28/2016,"$133,500",001329 PITKIN AVE #9,GLENWOOD,Condo,CONDO,1977,1,1,435,Section: 16 Township: 6 Range: 89 DESC: BLDG 1 Subdivision: MEADOWOOD CONDOS Unit: 9
R007900,218516104013,871254,12/7/2015,"$134,000",001329 PITKIN AVE #13,GLENWOOD,Condo,CONDO,1977,1,1,435,Section: 16 Township: 6 Range: 89 DESC: BLDG 2 Subdivision: MEADOWOOD CONDOS Unit: 13
R007901,218516104014,854218,9/30/2014,"$113,000",001329 PITKIN AVE #14,GLENWOOD,Condo,CONDO,1977,1,1,435,Section: 16 Township: 6 Range: 89 DESC: BLDG 2 Subdivision: MEADOWOOD CONDOS Unit: 14
R044889,218509464010,856940,12/9/2014,"$100,000",000903 BENNETT AVE #G2,GLENWOOD,Condo,CONDO,1904,1,1,495,"Section: 9 Township: 6 Range: 89 DESC: A RESUB OF LOTS 29-32, BLK.26 OF THE ORIGINAL TOWNSITE Subdivision: TAYLOR HOUSE CONDOMINIUMS Unit: G2"
R020042,218505309040,872971,1/27/2016,"$80,000",051519 6 & 24 HWY #C40,GLENWOOD,Condo,CONDO,1973,1,1,528,Section: 5 Township: 6 Range: 89 DESC: BLDG. C Subdivision: VALLEY VIEW WEST CONDOS Unit: 40
R020100,218505309021,859964,3/2/2015,"$87,000",051519 6 & 24 HWY #B21,GLENWOOD,Condo,CONDO,1973,1,1,528,Section: 5 Township: 6 Range: 89 DESC: BLDG. B Subdivision: VALLEY VIEW WEST CONDOS Unit: 21
R031717,218516125007,863075,5/21/2015,"$115,000",001527 BLAKE AVE #107,GLENWOOD,Condo,CONDO,1978,1,1,666,Section: 16 Township: 6 Range: 89 DESC: PARCEL B ( 1ST FLR) Subdivision: HOLLIDAY HOUSE CONDOS Unit: 107
R020128,218505309050,857107,12/10/2014,"$86,000",051519 6 & 24 HWY #C50,GLENWOOD,Condo,CONDO,1973,2,1,689,Section: 5 Township: 6 Range: 89 DESC: BLDG. C Subdivision: VALLEY VIEW WEST CONDOS Unit: 50
R020164,218505309048,869995,10/30/2015,"$110,000",051519 6 & 24 HWY #C48,GLENWOOD,Condo,CONDO,1973,2,1,689,Section: 5 Township: 6 Range: 89 DESC: BLDG. C Subdivision: VALLEY VIEW WEST CONDOS Unit: 48
R020280,218505309034,876183,4/19/2016,"$95,000",051519 6 & 24 HWY #B34,GLENWOOD,Condo,CONDO,1973,2,1,689,Section: 5 Township: 6 Range: 89 DESC: BLDG. B Subdivision: VALLEY VIEW WEST CONDOS Unit: 34
R020016,218505309030,858576,1/23/2015,"$86,000",051519 6 & 24 HWY #B30,GLENWOOD,Condo,CONDO,1973,2,1,689,Section: 5 Township: 6 Range: 89 DESC: BLDG. B Subdivision: VALLEY VIEW WEST CONDOS Unit: 30
R020016,218505309030,875413,3/31/2016,"$95,000",051519 6 & 24 HWY #B30,GLENWOOD,Condo,CONDO,1973,2,1,689,Section: 5 Township: 6 Range: 89 DESC: BLDG. B Subdivision: VALLEY VIEW WEST CONDOS Unit: 30
R020058,218505309051,879159,6/30/2016,"$94,000",051519 6 & 24 HWY #C51,GLENWOOD,Condo,CONDO,1973,2,1,689,Section: 5 Township: 6 Range: 89 DESC: BLDG. C Subdivision: VALLEY VIEW WEST CONDOS Unit: 51
R312472,218516138004,852668,8/15/2014,"$152,500",000340 13TH ST #4,GLENWOOD,Condo,CONDO,1997,1,1,792,Section: 16 Township: 6 Range: 89 Subdivision: 340 THIRTEENTH CONDOS Unit: 4
R007789,218516141018,855240,10/20/2014,"$156,000",001317 GRAND AVE #316,GLENWOOD,Condo,CONDO,2001,2,1,858,Section: 16 Township: 6 Range: 89 Subdivision: COLORADO PLAZA I Unit: 3E
R031722,218516125012,873048,1/27/2016,"$179,500",001527 BLAKE AVE #201,GLENWOOD,Condo,CONDO,1978,2,1,864,Section: 16 Township: 6 Range: 89 DESC: PARCEL B (2ND FLR) Subdivision: HOLLIDAY HOUSE CONDOS Unit: 201
R031731,218516125021,863114,5/18/2015,"$165,000",001527 BLAKE AVE #210,GLENWOOD,Condo,CONDO,1978,2,1,864,Section: 16 Township: 6 Range: 89 DESC: PARCEL B (2ND FLR) Subdivision: HOLLIDAY HOUSE CONDOS Unit: 210
R007893,218516104006,851687,7/14/2014,"$135,000",001329 PITKIN AVE #6,GLENWOOD,Condo,CONDO,1977,2,1,900,Section: 16 Township: 6 Range: 89 DESC: BLDG 1 Subdivision: MEADOWOOD CONDOS Unit: 6
R007905,218516104018,866637,8/10/2015,"$179,000",001329 PITKIN AVE #18,GLENWOOD,Condo,CONDO,1977,2,1,900,Section: 16 Township: 6 Range: 89 DESC: BLDG 2 Subdivision: MEADOWOOD CONDOS Unit: 18
R330387,218521108003,863403,6/1/2015,"$860,000",002920 HAGER LN #1A,GLENWOOD,Condo,CONDO,1980,2,1,900,"Section: 21 Township: 6 Range: 89 DESC: BLDG. 1 Subdivision: RIVER EDGE CONDO Unit: 1-A, Lot: 1"
R330388,218521108004,863403,6/1/2015,"$860,000",002920 HAGER LN #1B,GLENWOOD,Condo,CONDO,1980,2,1,900,"Section: 21 Township: 6 Range: 89 DESC: BLDG. 1 Subdivision: RIVER EDGE CONDO Unit: 1-B, Lot: 1"
R330389,218521108005,863403,6/1/2015,"$860,000",002920 HAGER LN #1C,GLENWOOD,Condo,CONDO,1980,2,1,900,"Section: 21 Township: 6 Range: 89 DESC: BLDG. 1 Subdivision: RIVER EDGE CONDO Unit: 1-C, Lot: 1"
R330390,218521108006,863403,6/1/2015,"$860,000",002920 HAGER LN #1D,GLENWOOD,Condo,CONDO,1980,2,1,900,"Section: 21 Township: 6 Range: 89 DESC: BLDG. 1 Subdivision: RIVER EDGE CONDO Unit: 1-D, Lot: 1"
R311563,218516124015,854858,10/14/2014,"$157,000",001510 BENNETT AVE,GLENWOOD,Condo,CONDO,1980,2,2,900,Section: 16 Township: 6 Range: 89 DESC: BLDG 3 Subdivision: SPRINGS CONDOS 3 Unit: 3-E-2
R007647,218521138004,877183,5/10/2016,"$230,000",002701 MIDLAND AVE #513,GLENWOOD,Condo,CONDO,2001,2,2,904,Section: 21 Township: 6 Range: 89 DESC: BLDG. 5 PHASE 2 Subdivision: TERRACES Unit: 0513
R007647,218521138004,866175,7/28/2015,"$192,000",002701 MIDLAND AVE #513,GLENWOOD,Condo,CONDO,2001,2,2,904,Section: 21 Township: 6 Range: 89 DESC: BLDG. 5 PHASE 2 Subdivision: TERRACES Unit: 0513
R006678,218505329010,877804,5/31/2016,"$215,000",006204 SUNSET RIDGE CT,GLENWOOD,Condo,CONDO,2001,2,2,916,Section: 5 Township: 6 Range: 89 DESC: BLDG F. Subdivision: SUNSET RIDGE VILLAS Unit: 6204
R007077,218505330001,861860,4/22/2015,"$180,000",007101 SUNSET RIDGE CT,GLENWOOD,Condo,CONDO,2001,2,2,916,Section: 5 Township: 6 Range: 89 DESC: BUILDING G REVISED PLAT OF LOT 3. Subdivision: SUNSET RIDGE VILLAS Unit: 7101
R007083,218505330007,865040,7/7/2015,"$195,000",007201 SUNSET RIDGE CT,GLENWOOD,Condo,CONDO,2001,2,2,916,Section: 5 Township: 6 Range: 89 DESC: BUILDING G REVISED PLAT OF LOT 3. Subdivision: SUNSET RIDGE VILLAS Unit: 7201
R007084,218505330008,877675,5/13/2016,"$206,000",007202 SUNSET RIDGE CT,GLENWOOD,Condo,CONDO,2001,2,2,916,Section: 5 Township: 6 Range: 89 DESC: BUILDING G REVISED PLAT OF LOT 3. Subdivision: SUNSET RIDGE VILLAS Unit: 7202
R007085,218505330009,862534,5/1/2015,"$185,000",007203 SUNSET RIDGE CT,GLENWOOD,Condo,CONDO,2001,2,2,916,Section: 5 Township: 6 Range: 89 DESC: BUILDING G REVISED PLAT OF LOT 3. Subdivision: SUNSET RIDGE VILLAS Unit: 7203
R007086,218505330010,865945,7/27/2015,"$195,000",007204 SUNSET RIDGE CT,GLENWOOD,Condo,CONDO,2001,2,2,916,Section: 5 Township: 6 Range: 89 DESC: BUILDING G REVISED PLAT OF LOT 3. Subdivision: SUNSET RIDGE VILLAS Unit: 7204
R006010,218505326003,871746,12/23/2015,"$182,500",003103 SUNSET RIDGE CT,GLENWOOD,Condo,CONDO,1999,2,2,916,Section: 5 Township: 6 Range: 89 DESC: BUILDING C. AMENDED PLAT OF LOT 3. Subdivision: SUNSET RIDGE VILLAS Unit: 3103
R005758,218505323001,872882,1/21/2016,"$196,500",001101 SUNSET RIDGE CT,GLENWOOD,Condo,CONDO,1999,2,2,916,Section: 5 Township: 6 Range: 89 DESC: BUILDING A Subdivision: SUNSET RIDGE VILLAS Unit: 1101
R005765,218505323008,868318,9/21/2015,"$192,500",001204 SUNSET RIDGE CT,GLENWOOD,Condo,CONDO,1999,2,2,916,Section: 5 Township: 6 Range: 89 DESC: BUILDING A Subdivision: SUNSET RIDGE VILLAS Unit: 1204
R006481,218505328006,852234,7/25/2014,"$169,000",005202 SUNSET RIDGE CT,GLENWOOD,Condo,CONDO,2000,2,2,916,Section: 5 Township: 6 Range: 89 DESC: BLDG E Subdivision: SUNSET RIDGE VILLAS Unit: 5202
R006482,218505328007,872774,1/21/2016,"$195,000",005203 SUNSET RIDGE CT #E,GLENWOOD,Condo,CONDO,2000,2,2,916,Section: 5 Township: 6 Range: 89 DESC: BLDG E. Subdivision: SUNSET RIDGE VILLAS Unit: 5203
R006216,218505327005,852956,8/26/2014,"$174,000",004201 SUNSET RIDGE CT,GLENWOOD,Condo,CONDO,1999,2,2,916,Section: 5 Township: 6 Range: 89 DESC: BUILDING D Subdivision: SUNSET RIDGE VILLAS Unit: 4201
R312473,218516138005,869408,10/16/2015,"$250,000",000340 13TH ST #5,GLENWOOD,Condo,CONDO,1997,2,1,917,Section: 16 Township: 6 Range: 89 Subdivision: 340 THIRTEENTH CONDOS Unit: 5
R312010,218522312004,877858,5/31/2016,"$299,000",003413 S GRAND AVE,GLENWOOD,Townhome,TWO STORY,1984,2,1.5,960,Section: 22 Township: 6 Range: 89 Subdivision: SUN POINT TOWNHOMES Unit: 4
R311187,218516124010,874384,3/1/2016,"$199,000",001502 BENNETT AVE,GLENWOOD,Condo,CONDO,1980,2,1.5,960,Section: 16 Township: 6 Range: 89 DESC: BLDG 2 Subdivision: SPRINGS CONDOS 2 Unit: 2-3
R311189,218516124012,878970,6/27/2016,"$241,000",001514 BENNETT AVE,GLENWOOD,Condo,CONDO,1980,2,1.5,960,Section: 16 Township: 6 Range: 89 DESC: BLDG 3 Subdivision: SPRINGS CONDOS 3 Unit: 3-2
R031016,218516418011,859267,2/2/2015,"$95,000",002015 BLAKE AVE #11A,GLENWOOD,Condo,CONDO,1977,2,1,966,"Section: 16 Township: 6 Range: 89 DESC: BLDG. A 1ST FLR, LOT 2, RESUB OF GLENWOOD PLAZA CONDOMINIUMS Subdivision: GLENWOOD PLAZA CONDOS Unit: 11"
R031016,218516418011,860374,3/6/2015,"$144,000",002015 BLAKE AVE #11A,GLENWOOD,Condo,CONDO,1977,2,1,966,"Section: 16 Township: 6 Range: 89 DESC: BLDG. A 1ST FLR, LOT 2, RESUB OF GLENWOOD PLAZA CONDOMINIUMS Subdivision: GLENWOOD PLAZA CONDOS Unit: 11"
R031051,218516418015,871441,12/11/2015,"$175,000",002015 BLAKE AVE #15B,GLENWOOD,Condo,CONDO,1977,2,1,966,"Section: 16 Township: 6 Range: 89 DESC: BLDG. B 2ND FLR, LOT 2, RESUB OF GLENWOOD PLAZA CONDOMINIUMS Subdivision: GLENWOOD PLAZA CONDOS Unit: 15"
R031148,218516418028,871020,12/1/2015,"$185,000",002015 BLAKE AVE #28A,GLENWOOD,Condo,CONDO,1977,2,1,966,"Section: 16 Township: 6 Range: 89 DESC: BLDG A 3RD FLR, LOT 2, RESUB OF GLENWOOD PLAZA CONDOMINIUMS Subdivision: GLENWOOD PLAZA CONDOS Unit: 28"
R311121,218516418003,858838,1/30/2015,"$120,000",002015 BLAKE AVE #3B,GLENWOOD,Condo,CONDO,1977,2,1,966,"Section: 16 Township: 6 Range: 89 DESC: BLDG B 1ST FLR, LOT 2, RESUB OF GLENWOOD PLAZA CONDOMINIUMS Subdivision: GLENWOOD PLAZA CONDOS Unit: 3"
R311345,218516418016,868619,9/25/2015,"$140,000",002015 BLAKE AVE #16B,GLENWOOD,Condo,CONDO,1977,2,1,966,"Section: 16 Township: 6 Range: 89 DESC: BLDG B 2ND FLR, LOT 2, RESUB OF GLENWOOD PLAZA CONDOMINIUMS Subdivision: GLENWOOD PLAZA CONDOS Unit: 16"
R031299,218516418010,874458,3/4/2016,"$193,000",002015 BLAKE AVE #10A,GLENWOOD,Condo,CONDO,1977,2,1,966,"Section: 16 Township: 6 Range: 89 DESC: BLDG A 1ST FLR, LOT 2, RESUB OF GLENWOOD PLAZA CONDOMINIUMS Subdivision: GLENWOOD PLAZA CONDOS Unit: 10"
R031319,218516418002,863695,5/15/2015,"$118,000",002015 BLAKE AVE #2B,GLENWOOD,Condo,CONDO,1977,2,1,966,"Section: 16 Township: 6 Range: 89 DESC: BLDG B 1ST FLR, LOT 2, RESUB OF GLENWOOD PLAZA CONDOMINIUMS Subdivision: GLENWOOD PLAZA CONDOS Unit: 2"
R031689,218516418018,866055,7/27/2015,"$162,000",002015 BLAKE AVE #18B,GLENWOOD,Condo,CONDO,1977,2,1,966,"Section: 16 Township: 6 Range: 89 DESC: BLDG B, LOT 2, RESUB OF GLENWOOD PLAZA CONDOMINIUMS Subdivision: GLENWOOD PLAZA CONDOS Unit: 18"
R007895,218516104008,879126,6/30/2016,"$248,000",001329 PITKIN AVE #8,GLENWOOD,Condo,CONDO,1977,2,1,990,Section: 16 Township: 6 Range: 89 DESC: BLDG 1 Subdivision: MEADOWOOD CONDOS Unit: 8
R007895,218516104008,860720,3/19/2015,"$143,000",001329 PITKIN AVE #8,GLENWOOD,Condo,CONDO,1977,2,1,990,Section: 16 Township: 6 Range: 89 DESC: BLDG 1 Subdivision: MEADOWOOD CONDOS Unit: 8
R007394,218521135007,857703,12/29/2014,"$190,000",002701 MIDLAND AVE #227,GLENWOOD,Condo,CONDO,2001,2,2,1000,Section: 21 Township: 6 Range: 89 DESC: BUILDING 2 Subdivision: TERRACES Unit: 0227
R008265,218521143008,858995,2/4/2015,"$211,500",002701 MIDLAND AVE #1027,GLENWOOD,Condo,CONDO,2001,2,2,1000,Section: 21 Township: 6 Range: 89 DESC: BUILDING 10 PHASE 4 Subdivision: TERRACES Unit: 1027
R008971,218521140008,870208,11/4/2015,"$210,000",002701 MIDLAND AVE #727,GLENWOOD,Condo,CONDO,2002,2,2,1000,"Section: 21 Township: 6 Range: 89 DESC: BUILDING 7, PHASE 5 Subdivision: TERRACES Unit: 0727"
R008984,218521141008,851961,7/29/2014,"$195,000",002701 MIDLAND AVE #827,GLENWOOD,Condo,CONDO,2002,2,2,1000,"Section: 21 Township: 6 Range: 89 DESC: BUILDING 8, PHASE 5 Subdivision: TERRACES Unit: 0827"
R007788,218516141017,865995,7/29/2015,"$245,000",001317 GRAND AVE #312,GLENWOOD,Condo,CONDO,2001,2,2,1005,Section: 16 Township: 6 Range: 89 Subdivision: COLORADO PLAZA I Unit: 3D
R043598,218506211006,858831,1/30/2015,"$247,000",000252 DONEGAN RD,GLENWOOD,Townhome,TWO STORY,2007,2,1.5,1012,Section: 6 Township: 6 Range: 89 Subdivision: TIMBER CREEK TOWNHOMES Block: 5 Lot: 6
R007391,218521135004,859989,3/4/2015,"$241,296",002701 MIDLAND AVE #214,GLENWOOD,Condo,CONDO,2001,2,2,1048,Section: 21 Township: 6 Range: 89 DESC: BUILDING 2 Subdivision: TERRACES Unit: 0214
R007391,218521135004,865240,6/29/2015,"$215,000",002701 MIDLAND AVE #214,GLENWOOD,Condo,CONDO,2001,2,2,1048,Section: 21 Township: 6 Range: 89 DESC: BUILDING 2 Subdivision: TERRACES Unit: 0214
R007657,218521139005,863035,5/22/2015,"$182,500",002701 MIDLAND AVE #614,GLENWOOD,Condo,CONDO,2001,2,2,1048,Section: 21 Township: 6 Range: 89 DESC: BLDG. 6 PHASE 2 Subdivision: TERRACES Unit: 0614
